"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2021","359,32","357,95","363,38","356,78","1,98M","-0,46%"
"30.12.2021","360,99","362,00","364,65","359,11","1,56M","-0,08%"
"29.12.2021","361,29","361,78","363,15","360,19","1,54M","0,14%"
"28.12.2021","360,78","358,79","364,14","358,41","1,92M","0,13%"
"27.12.2021","360,31","360,00","361,08","355,60","2,68M","-0,07%"
"23.12.2021","360,58","357,54","362,47","355,00","2,63M","0,87%"
"22.12.2021","357,48","346,58","358,62","346,58","3,46M","1,92%"
"21.12.2021","350,74","340,33","352,00","339,37","3,11M","4,07%"
"20.12.2021","337,02","341,24","343,52","336,23","5,01M","-3,52%"
"17.12.2021","349,31","349,19","352,79","344,12","5,90M","-1,02%"
"16.12.2021","352,92","351,70","353,77","345,12","5,37M","1,90%"
"15.12.2021","346,35","340,00","346,59","335,53","4,92M","1,70%"
"14.12.2021","340,55","345,32","348,21","337,86","4,52M","-1,38%"
"13.12.2021","345,31","349,19","349,53","340,33","4,36M","-1,32%"
"10.12.2021","349,92","347,00","350,25","344,83","3,41M","1,57%"
"09.12.2021","344,52","340,05","346,53","339,01","3,39M","0,64%"
"08.12.2021","342,34","339,23","344,02","334,10","4,23M","0,83%"
"07.12.2021","339,51","337,30","342,42","337,30","4,94M","1,85%"
"06.12.2021","333,33","324,75","336,76","322,00","6,05M","3,48%"
"03.12.2021","322,11","320,24","322,68","314,00","4,73M","0,60%"
"02.12.2021","320,20","309,59","322,20","308,98","6,72M","4,54%"
"01.12.2021","306,28","320,78","322,02","306,00","8,01M","-2,74%"
"30.11.2021","314,92","318,00","320,76","310,11","10,24M","-2,50%"
"29.11.2021","323,01","330,01","331,82","318,25","6,36M","-0,36%"
"26.11.2021","324,17","321,58","326,87","319,00","6,61M","-4,66%"
"24.11.2021","340,00","326,95","340,36","325,02","6,41M","3,34%"
"23.11.2021","329,00","324,96","329,69","321,69","7,12M","2,40%"
"22.11.2021","321,30","339,80","341,48","319,76","11,38M","-5,42%"
"19.11.2021","339,72","346,00","346,65","339,13","6,96M","-2,44%"
"18.11.2021","348,22","360,73","362,48","344,58","6,53M","-3,05%"
"17.11.2021","359,17","359,58","368,00","351,22","11,73M","-2,81%"
"16.11.2021","369,56","364,77","371,07","362,00","4,97M","2,27%"
"15.11.2021","361,36","365,14","371,13","360,66","4,69M","-0,59%"
"12.11.2021","363,50","356,06","363,84","355,93","4,72M","2,59%"
"11.11.2021","354,34","358,38","359,64","352,57","4,47M","-1,01%"
"10.11.2021","357,94","350,10","359,62","349,50","6,34M","3,86%"
"09.11.2021","344,65","350,00","350,20","339,65","4,25M","-1,44%"
"08.11.2021","349,67","348,01","353,15","347,66","3,86M","0,25%"
"05.11.2021","348,79","342,44","350,16","341,00","7,20M","3,98%"
"04.11.2021","335,43","331,07","338,63","329,33","4,82M","1,82%"
"03.11.2021","329,43","328,50","329,58","323,34","3,95M","0,29%"
"02.11.2021","328,48","335,13","335,77","326,70","5,38M","-1,67%"
"01.11.2021","334,05","335,25","340,90","332,88","5,13M","-0,44%"
"29.10.2021","335,52","331,24","338,15","331,11","5,84M","0,75%"
"28.10.2021","333,03","344,17","350,49","328,87","9,51M","-0,80%"
"27.10.2021","335,72","348,00","351,12","333,80","9,65M","-6,05%"
"26.10.2021","357,32","363,38","367,35","356,81","3,32M","-0,98%"
"25.10.2021","360,86","362,46","364,30","358,79","2,45M","0,61%"
"22.10.2021","358,67","356,68","361,64","354,90","2,77M","0,69%"
"21.10.2021","356,21","354,60","356,38","347,27","2,52M","-0,16%"
