"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2021","216,71","216,81","217,98","215,49","4,72M","-0,53%"
"30.12.2021","217,87","217,97","219,15","217,15","3,81M","-0,14%"
"29.12.2021","218,17","217,76","218,94","217,33","3,22M","0,06%"
"28.12.2021","218,05","216,01","219,73","215,58","4,28M","0,19%"
"27.12.2021","217,63","217,68","218,12","214,88","4,82M","0,47%"
"23.12.2021","216,62","218,44","218,52","216,62","4,80M","-0,61%"
"22.12.2021","217,96","213,85","218,94","213,85","6,00M","1,20%"
"21.12.2021","215,38","210,61","216,16","210,36","6,99M","3,18%"
"20.12.2021","208,74","209,09","209,77","206,86","9,43M","-1,48%"
"17.12.2021","211,88","212,80","213,21","207,79","11,66M","-1,16%"
"16.12.2021","214,37","215,29","216,27","211,61","8,55M","0,97%"
"15.12.2021","212,31","209,40","212,49","207,86","10,89M","1,11%"
"14.12.2021","209,98","210,73","213,37","208,45","9,83M","-0,49%"
"13.12.2021","211,02","212,45","213,32","209,98","8,84M","-1,12%"
"10.12.2021","213,40","211,90","214,25","210,86","8,88M","0,95%"
"09.12.2021","211,39","208,52","212,20","207,17","10,18M","1,15%"
"08.12.2021","208,99","207,66","209,48","205,71","11,75M","0,78%"
"07.12.2021","207,37","206,00","207,94","205,89","11,90M","2,31%"
"06.12.2021","202,68","198,77","204,22","197,74","10,72M","3,24%"
"03.12.2021","196,32","198,27","198,47","194,04","10,66M","-0,99%"
"02.12.2021","198,29","192,00","199,43","191,85","13,98M","4,28%"
"01.12.2021","190,16","196,03","196,81","190,10","13,21M","-1,86%"
"30.11.2021","193,77","195,27","197,66","192,56","16,02M","-1,28%"
"29.11.2021","196,29","201,00","201,25","195,36","14,63M","-0,69%"
"26.11.2021","197,65","193,32","199,19","192,55","10,99M","-2,76%"
"24.11.2021","203,25","198,17","203,95","197,64","12,03M","2,40%"
"23.11.2021","198,49","196,97","198,92","194,38","14,75M","1,49%"
"22.11.2021","195,58","200,00","201,70","194,60","21,19M","-2,63%"
